area,price,title
72平米,80,首付20万买带鱼洞指标的正两房，大阳台，大飘窗，视野完全不遮挡
85平米,93,蔡家 单价一万 首付二十多万 毗邻别墅的小高层 还不下手吗
高层,110,首付20万 巴国城双山旁精装正规三房，拎包入住，读
高层,58,急售！汉渝路 正规电梯小两房 户型方正 三峡广场
高层,162,三期交房标准未住人，视线开阔，照母山精装3房2卫
中层,130,婚房 婚房 没有住过人 门口轻轨站哦 急售急售！！！
高层,123,巴国城商圈看公园精装房 户型方正 住家舒适 出门公交站
76.77平米,138,巴国城品质洋房小区，精装三室两卫，66大顺，居家好环境！读
99.31平米,193,江北嘴新鸥鹏城二期 3室1厅 东南 就读于巴川量子 全指标
中层,83,实木家具！天都精装大两房 首付只需18万 带树人指标 随时看房
90平米,125.9,（真实价格）首付26万买照母山精装三房，全中庭，宜居
高层,98,喜欢跃层观湖的看过来 翠云轻轨站旁精装跃层两房 一线观湖 急售
84平米,110,龙湖旁 越昕晖洋房品质 双学府 精装 三房两卫拎包入住
低层,130,看过来！近轻轨，带森林指标，龙景苑精装修三房两卫现诚心出售啦
低层,52,客运中心云中馨苑旁电梯房 正三室 9.9成新 南北朝向 惊喜房源
85平米,105.8,首付30万起丶高庙村轻轨站旁丶100米万达广场丶支持三无
中层,71,小家也有大天地 毗邻地铁 出门永辉 坐拥茶园核心
高层,95,渝北鸳鸯瑞骏景园 精装两房 拎包入住 双轻轨 读育才 95万
高层,290,可做屋顶花园，现房近轻轨商圈，横厅板式花园洋房，照母山约克郡
124.7平米,159,首付28万 朝南看小区中庭 出门地铁站 近万达品质大楼盘
中层,88,全中庭公园鲁能泰山七号，小户两房户型楼层好总价低随时看房
低层,120,住家装修 三房双卫 商圈江景房 户型正 大开间 视野
210平米,295,龙湖听蓝湾二期中户别墅，业主急卖，中庭位置，带树人
低层,77,大学城 宝嘉精装两房 近树人方便孩子读书 近轻轨方便出行 近商业
低层,84,石坪桥正街 保利爱尚里旁 精装3房 户型方正交通方便
88平米,115,万达广场旁，旭辉精装三房双卫，就读巴渝，业主诚心出售
85平米,90,大学城，恒大旁，品质小区，协信三房，全新装修，可
47平米,54,轻轨站旁住家一室首付12万拎包入住住宅性质通水电气带指标
105平米,105,大学城 金科廊桥水乡 精装三房双卫 读树人 朝西南 园林式小区
中层,140,渝中区朝天门来福士广场旁跃层江景房轻轨旁带空中花园支持三无
高层,64.2,首付24万买龙洲湾轻轨站旁 精装三房 拎包入住 户型方正
低层,280,老品牌金辉集团 首付只需一层即可拥有 看江横厅大平层
中层,170,——龙湖天街旁清水大平层——全中庭大四房带保姆间——
63.3平米,130,财信渝中城，正规两房，业主急卖130万，清水房，采光好，低价卖
高层,98,"渝北区回兴,宝圣湖旁水木清华小小岛精装看湖三房,视野辽阔"
中层,300,2，嘉州商圈 新光天地旁 汇景台 精装跃层洋房 带40平米露台
低层,109,江北北滨路住家精装小三房 视野好 温馨舒适 诚心出售！
低层,115,真实价格，融创品质，精装住家三房一卫，拎包入住，来电看房
137平米,183,龙湖U城轻轨旁183万买大三房洋房 位置安静 可读树人 业主急售
中层,96,黄泥磅轻轨站旁边 围城国际 精装跃层两份 配套齐全
128平米,190,两江新区嘉陵江上金科城37区端户下叠，带60平米地下室和花园
area,price,title
72平米,80,首付20万买带鱼洞指标的正两房，大阳台，大飘窗，视野完全不遮挡
107平米,162,南坪 南滨路 海棠溪地铁口 御峰 全新住家精装三房 即买即住
82平米,83,大学城，协信城立方三期，标准三房，户型方正，读沙小，采光好
95平米,94,高新区，恒大未来城，精装三房，带花园，带露台，读树人，
中层,108,龙头寺 阔景小户 婚房住家必备 全新装修 拎包入住
133.7平米,155,珠江华轩品质社区 三房两卫 180°全景落地窗 单价低
中层,108.8,特价房 首付12万起 沙滨路瞰江 毗邻大竹林 轻轨站旁
中层,130,两江新区洋房 读西大 双轻轨6号线配套 低首付支持公积金
81平米,48,御龙湾享双巴蜀指标总价35万起支持公积金贷款随时看房
80.61平米,130,急售国富品质小区 全面看江三房 瓷器口旅游 景点出行方便
84平米,140,北滨路 国奥村三期 豪装三房 拎包入住 全新装修 住家安静
中层,109,一桥通江北 信步大竹林 东原阅系江湾 三岛环一湾 刚需住宅
71.56平米,90,业主急售:精装2房，送家具家电，拎包入住，户型方正，急售房源
82.61平米,95,高新区，协信三期，精装三房，家电齐全，读沙小，门口星光商业街
105平米,72.58,富力白鹭湾 枫香湖儿童公园旁 小洋楼 单价低至6000起
中层,135,地铁站9号线旁 住家精装正3房 买了直接入住
低层,138,大竹林金科品质大盘，商业公交方便，性价比好，年低诚心出售
低层,95,较场口 精装修一房 采光好看房方便
112.4平米,218,实验旁 隆鑫天雨方 豪华装修 正规大三室 拎包入住
高层,133,同景国际城A区3室2厅2卫精装修，拎包入住
91平米,133,恒大精装三房 未入住急售 价格可议
低层,68,"陈家坪轻轨站旁 5.1米层高 配套成熟 水电气三通,彩云湖旁"
中层,150,首付50万购公园品质洋房，板式结构南北通透，随时看房
低层,85,泽科精装二房可改三房售85万家具家电齐全户型方正采光很好
中层,68,首付21万 央企品质大盘了 交通便利均价9000每平
低层,116.8,石马河大川壹江城旁曦城小区，精装3室2卫，从未住过人
中层,143.6,正规成熟小区，小区住家安静，中间楼层，光线好
中层,58,大坪红城丽景一房精装送家电可租1500近地铁居家方便
106平米,80,璧山新盘靠轻轨站 周边环境好 公园多 出行方便 有高铁
321.3平米,1000,（世界看中国，中国看重庆）重庆地标丶一线看两江丶身份的象征
低层,50,距龙湖时代天街300米带马家堡指标一房一厅50万
高层,88,心中的理想城 期待您的到来，万科品牌，只做精装房，三桥四轨
低层,510,510万业主真心出售价格稳定联排中户别墅带读书指标
低层,124,解放碑旁豪华装修全玻璃幕墙品质公寓
77平米,96,汽博商圈双轻轨环绕世贸品质首付30W交通生活
低层,168,公园金茂国际生态城，清水正三房，采光好，户型金典
低层,145,金茂一期3房出售 双轻轨环抱 坐北朝南 看公园
高层,68.6,"重庆地段,3轻轨环绕,精装现房,酒店管理,每月直接收租金"
高层,96,渝北农业园区 汽博旁 精装电梯带车位正两房 视野采光俱佳
中层,90,一城龙洲 近轻轨 精装三房 生活配套完善 出行方便 采光好
中层,74.8,回兴 双轻轨 圣明世贸城旁 国际家纺城精装两室出售
98平米,150,南滨路上 一线临江 端头户型 厨卫全明 三室两厅两卫 业主诚售
低层,210,急售，业主炒股亏了，生意周转急售
中层,103,星奥商圈 融创精装三房 拎包入住 业主亏本急售 三房仅103万
中层,125,两江商务中心 捡趴和 3房2厅2卫视野开阔
高层,97,花溪轻轨站旁 精装三房两厅 保持九层新 视野无遮挡 临
高层,115,南岸区莫比时代清水大3房双卫 希缺错层 环境舒适 随时看房
中层,106,两江自贸区 3房 花园洋房 高新技术产业园 品质小区
高层,56.8,！巴山轻轨站旁，精装一房可改小两房总价低 ！
中层,183,首创天阅嘉陵 高层价格大平层享受 江景房
87平米,95,95万买3房双卫，阳光城端头看湖视野开阔 读朝小，全新小区
中层,198,鲁能星城四街区 精装修大三房 安静南北通透 看月影湖 近轻轨1557
90平米,99,双轻轨就在小区门口50万方商业就在旁边读巴蜀在渝北中国摩
低层,75,渝北空港新城爱加欧郡正两房，读空港新城，业主诚心出售。
144平米,280,鲁能领秀城美式联排别墅端户，3+1结构带双车位，带读书指标。
75.8平米,75,商圈！保利大盘！折扣价首付22万购精装三房！先到先得
109平米,75,恒大精装三房，楼层好、户型佳，业主诚心出售。
中层,76.5,精装小2房 没有住过人的新房 婚房
172平米,290,华侨城临崖顶跃洋房挑空客厅带60平双露台使用面积二百平
102平米,100,北京城建豪装洋房带三个大露台诚心出售，全新家具家电拎包入住！
79.8平米,142,公馆一期清水房，户型方正，采光好，交通便利
78.93平米,113,房子楼层较好，业主诚心出售，可拎包入住
低层,110,轻轨环线楼上次新盘 弹子石 清水3房 交通生活方便 楼下商场
146平米,248,和记黄埔地产御峰叠拼别墅套内约151㎡房源在售
中层,112,业主急卖 茶园轻轨500米 同景M组团 3梯6户高配 读珊瑚铭校
中层,136,REAL 海棠晓月A区 精装小三房 看中庭 读珊瑚 感觉像住在公园
中层,120,滨江路上美丽山水正规精装两房，门口就是9号线轻轨站
132.9平米,140,协信星澜汇140万4室2厅2卫毛坯，阔绰客厅，阳台配套成熟交
高层,149,鲁能星城八街区 巴蜀初高指标 装修两室 近學校 远眺视野7210
79.64平米,120,龙洲湾中交锦悦精装三房 业主急售 价格好商量 美的空调
253.4平米,499,照母山别墅花园200平米临湖双拼全采光实得500平
低层,1200,蓝湖郡旁 橡树澜湾（2加1）一线临湖 独栋带500平大花园
45平米,63,万达广场精装小两房，品质小区，鱼洞，
高层,168,鲁能星城十一街区 精装两房 带巴蜀初高指标 拎包入住 6581
中层,500,1照母山爱琴海商圈联排端头花园200㎡-400㎡带电梯井
低层,125,首创奥特莱斯旁，融创3室出售，繁华地段
高层,79.6,上歇台子93平79.6万诚意出售可以贷款
低层,68,大学城一中旁 首付15万拎包入住羲城蓝湾住家精装两房 带沙小指标
高层,58,急售！汉渝路 正规电梯小两房 户型方正 三峡广场
高层,45,全新精装修 商圈弹子石 高楼层 视野开阔 无遮挡
172平米,266,价格可谈江北嘴(套内145平大4房)采光好。一线江景。有钥匙
103平米,68,4大网红公园围绕+轻轨站旁+6米大阳台+配套设施完善+至19万
中层,94,首地人和街 小3房 中层采光好 随时看房
中层,85,朝中庭 商圈弹子石 门口弹小 出门公交站 住家精装保持新
低层,140,——全中庭大两房——户型方正无浪费空间——楼下轻轨站——
47平米,68,小C带你看旭辉城总价低，正规小两房，住家装修
81平米,74.9,富力城地铁站旁边朝公园300米到地铁站
高层,128,巴国公馆一期 三房一卫 精装修 干净整洁
中层,165,天邻风景，单价10000，总价166万带苑馆3房变4房，中庭
90平米,58.2,御龙湾双巴蜀！一城御龙湾，何止双巴蜀！低总价！666
168平米,215,轻轨沿线 东海定南山 清水联排中户 双车位 3加1架构 搞快
低层,249,特价房！特价房！万科十七英里 17米的宽景阳台加露台 大平墅
低层,103,房交会特价，首付23万，精装三房，和泓文华府，单价10500
area,price,title
72平米,80,首付20万买带鱼洞指标的正两房，大阳台，大飘窗，视野完全不遮挡
中层,135,地铁站9号线旁住家精装正3房买了直接入住
高层,105,玉带山轻轨环线旁 大川壹江城精美装修正规大两室 保持较好
中层,208,冉家坝 龙湖水晶郦城朗苑 精装三房 邻轻轨 带星光 诚售
106平米,135,轻轨房，，精装大四房，出行方便
78平米,90,两江新区轻轨旁刚需小三房有商圈有配套成熟交通便利
中层,108,两室两厅两卫 清水 可变三房 房源真实 随时看房 价位面议
90平米,60,双福时代3期新盘 活动价6666一平 免中介费 契税减半
86平米,133,华润公园 好的清水两房啊！！！只要133万 住家舒适
低层,106,空港轻轨观月站永辉市旁北城空港天地精装3房出售
91平米,97,业主老家用钱 价格便宜惨老 简直老 看上直接签合同
中层,28,"买了就是包租婆,21万起带租约现房公寓,科技学院,重大旁"
低层,310,（贝壳真房）保利香颂 品质洋房 一楼带嫩个大的花园 等你入住
83.87平米,91,重庆高新区文旅城 91万起 读树人七中 游乐园 万达茂 龙湖天街旁
